team,article_count,audience_counts_by_teams,web_search_count,youtube_views,youtube_likes,youtube_comments
HH,8752,804204,3085,93528076.0,2039602.0,199923.0
HT,12962,1259249,1823,56900930.0,1605285.0,109273.0
KT,5678,843942,3214,13134334.0,437178.0,40639.0
LG,9125,1397499,3574,35108779.0,1459566.0,93705.0
LT,6949,1202840,3204,52627787.0,1553215.0,137067.0
NC,3850,731167,3368,13899768.0,596845.0,46049.0
OB,6715,1301768,3625,35046297.0,1212285.0,90117.0
SK,3666,1143773,3508,30310968.0,1105139.0,77784.0
SS,9917,1347022,3188,44700268.0,1690925.0,115724.0
WO,3397,808349,4106,15002719.0,617567.0,53395.0
