team,month,article_count,audience_counts
HT,1,455.0,
HT,2,436.0,
HT,3,853.0,
HT,4,1331.0,
HT,5,1063.0,
HT,6,1339.0,
HT,7,1568.0,
HT,8,1690.0,
HT,9,1832.0,
HT,10,1769.0,
HT,11,626.0,
HT,12,0.0,
SS,1,361.0,
SS,2,170.0,
SS,3,596.0,
SS,4,690.0,
SS,5,876.0,
SS,6,992.0,
SS,7,905.0,
SS,8,1083.0,
SS,9,890.0,
SS,10,3020.0,
SS,11,334.0,
SS,12,0.0,
LG,1,434.0,
LG,2,218.0,
LG,3,649.0,
LG,4,903.0,
LG,5,855.0,
LG,6,902.0,
LG,7,1006.0,
LG,8,867.0,
LG,9,873.0,
LG,10,2148.0,
LG,11,270.0,
LG,12,0.0,
OB,1,162.0,
OB,2,221.0,
OB,3,468.0,
OB,4,682.0,
OB,5,1028.0,
OB,6,916.0,
OB,7,1084.0,
OB,8,722.0,
OB,9,623.0,
OB,10,452.0,
OB,11,357.0,
OB,12,0.0,
KT,1,161.0,
KT,2,166.0,
KT,3,356.0,
KT,4,507.0,
KT,5,668.0,
KT,6,598.0,
KT,7,564.0,
KT,8,394.0,
KT,9,438.0,
KT,10,1427.0,
KT,11,399.0,
KT,12,0.0,
SK,1,189.0,
SK,2,109.0,
SK,3,290.0,
SK,4,696.0,
SK,5,501.0,
SK,6,538.0,
SK,7,401.0,
SK,8,252.0,
SK,9,397.0,
SK,10,118.0,
SK,11,175.0,
SK,12,0.0,
LT,1,175.0,
LT,2,370.0,
LT,3,687.0,
LT,4,961.0,
LT,5,822.0,
LT,6,1099.0,
LT,7,750.0,
LT,8,782.0,
LT,9,764.0,
LT,10,276.0,
LT,11,263.0,
LT,12,0.0,
HH,1,172.0,
HH,2,487.0,
HH,3,1496.0,
HH,4,1434.0,
HH,5,1294.0,
HH,6,1103.0,
HH,7,808.0,
HH,8,766.0,
HH,9,757.0,
HH,10,195.0,
HH,11,240.0,
HH,12,0.0,
NC,1,175.0,
NC,2,157.0,
NC,3,243.0,
NC,4,406.0,
NC,5,521.0,
NC,6,737.0,
NC,7,439.0,
NC,8,390.0,
NC,9,505.0,
NC,10,182.0,
NC,11,95.0,
NC,12,0.0,
WO,1,214.0,
WO,2,65.0,
WO,3,228.0,
WO,4,532.0,
WO,5,494.0,
WO,6,498.0,
WO,7,443.0,
WO,8,483.0,
WO,9,257.0,
WO,10,74.0,
WO,11,109.0,
WO,12,0.0,
HT,1,,4500.0
SS,2,,5200.0
LG,3,,6100.0
