주,KIA 타이거즈: (대한민국),KIA: (대한민국),타이거즈: (대한민국)
2023-11-19,<1,12,4
2023-11-26,<1,11,3
2023-12-03,<1,13,3
2023-12-10,0,12,3
2023-12-17,<1,12,3
2023-12-24,<1,13,3
2023-12-31,0,14,3
2024-01-07,<1,14,3
2024-01-14,0,12,3
2024-01-21,0,15,2
2024-01-28,<1,13,6
2024-02-04,1,14,3
2024-02-11,0,14,5
2024-02-18,0,14,3
2024-02-25,0,15,4
2024-03-03,<1,14,5
2024-03-10,0,13,5
2024-03-17,<1,17,6
2024-03-24,1,33,9
2024-03-31,1,34,10
2024-04-07,1,45,11
2024-04-14,1,36,14
2024-04-21,1,35,14
2024-04-28,2,33,14
2024-05-05,1,27,10
2024-05-12,1,34,13
2024-05-19,1,32,13
2024-05-26,2,32,14
2024-06-02,2,36,16
2024-06-09,1,32,14
2024-06-16,2,31,15
2024-06-23,2,37,19
2024-06-30,1,28,12
2024-07-07,2,32,13
2024-07-14,2,33,13
2024-07-21,2,33,17
2024-07-28,3,40,20
2024-08-04,2,31,15
2024-08-11,2,33,16
2024-08-18,2,33,19
2024-08-25,3,25,23
2024-09-01,3,22,20
2024-09-08,2,15,16
2024-09-15,2,27,18
2024-09-22,2,32,16
2024-09-29,1,17,10
2024-10-06,<1,10,8
2024-10-13,<1,10,8
2024-10-20,4,100,23
2024-10-27,2,32,19
2024-11-03,<1,9,7
2024-11-10,<1,10,7
2024-11-17,1,9,7
2024-11-24,<1,8,6
