team,month,article_count,audience_counts,audience_counts_by_teams,ranking,web_search_count
HT,1,455,0,0,0,68
HT,2,436,0,0,0,72
HT,3,853,0,36500,2,146
HT,4,1331,0,171086,1,204
HT,5,1063,0,264213,1,184
HT,6,1339,0,220945,1,252
HT,7,1568,0,159419,1,211
HT,8,1690,0,160983,1,203
HT,9,1832,0,246103,1,201
HT,10,1769,0,0,1,217
HT,11,626,0,0,0,65
HT,12,0,0,0,0,0
SS,1,361,0,0,0,242
SS,2,170,0,0,0,198
SS,3,596,0,68365,8,335
SS,4,690,0,129053,3,258
SS,5,876,0,254785,4,260
SS,6,992,0,192050,3,331
SS,7,905,0,216372,3,285
SS,8,1083,0,294397,2,273
SS,9,890,0,192000,2,379
SS,10,3020,0,0,2,354
SS,11,334,0,0,0,273
SS,12,0,0,0,0,0
LG,1,434,0,0,0,232
LG,2,218,0,0,0,229
LG,3,649,0,93190,5,392
LG,4,903,0,210975,5,327
LG,5,855,0,185446,2,301
LG,6,902,0,235927,2,396
LG,7,1006,0,198377,2,330
LG,8,867,0,223768,3,333
LG,9,873,0,249816,3,428
LG,10,2148,0,0,3,347
LG,11,270,0,0,0,259
LG,12,0,0,0,0,0
OB,1,162,0,0,0,122
OB,2,221,0,0,0,120
OB,3,468,0,71250,6,336
OB,4,682,0,206011,6,387
OB,5,1028,0,241367,3,411
OB,6,916,0,262399,4,526
OB,7,1084,0,144202,5,441
OB,8,722,0,218092,4,361
OB,9,623,0,158447,4,565
OB,10,452,0,0,5,179
OB,11,357,0,0,0,177
OB,12,0,0,0,0,0
KT,1,161,0,0,0,225
KT,2,166,0,0,0,220
KT,3,356,0,51353,10,344
KT,4,507,0,95313,9,275
KT,5,668,0,117392,7,256
KT,6,598,0,209449,9,378
KT,7,564,0,77813,6,275
KT,8,394,0,129725,5,266
KT,9,438,0,162897,5,424
KT,10,1427,0,0,4,299
KT,11,399,0,0,0,252
KT,12,0,0,0,0,0
SK,1,189,0,0,0,137
SK,2,109,0,0,0,129
SK,3,290,0,79301,4,415
SK,4,696,0,202861,4,409
SK,5,501,0,156084,5,391
SK,6,538,0,179538,5,470
SK,7,401,0,155544,4,348
SK,8,252,0,195487,6,338
SK,9,397,0,174958,6,505
SK,10,118,0,0,6,179
SK,11,175,0,0,0,187
SK,12,0,0,0,0,0
LT,1,175,0,0,0,187
LT,2,370,0,0,0,212
LT,3,687,0,65886,9,335
LT,4,961,0,162748,10,329
LT,5,822,0,236709,10,303
LT,6,1099,0,209559,7,397
LT,7,750,0,109330,9,326
LT,8,782,0,170391,8,285
LT,9,764,0,248217,7,370
LT,10,276,0,0,7,224
LT,11,263,0,0,0,236
LT,12,0,0,0,0,0
HH,1,172,0,0,0,118
HH,2,487,0,0,0,139
HH,3,1496,0,36000,1,410
HH,4,1434,0,144000,8,361
HH,5,1294,0,154179,8,304
HH,6,1103,0,133248,8,380
HH,7,808,0,119516,8,284
HH,8,766,0,123465,7,298
HH,9,757,0,93796,8,405
HH,10,195,0,0,8,166
HH,11,240,0,0,0,220
HH,12,0,0,0,0,0
NC,1,175,0,0,0,246
NC,2,157,0,0,0,241
NC,3,243,0,38966,3,358
NC,4,406,0,117713,2,367
NC,5,521,0,133036,5,397
NC,6,737,0,105665,6,443
NC,7,439,0,100925,7,365
NC,8,390,0,134115,9,403
NC,9,505,0,100747,9,301
NC,10,182,0,0,9,123
NC,11,95,0,0,0,124
NC,12,0,0,0,0,0
WO,1,214,0,0,0,204
WO,2,65,0,0,0,207
WO,3,228,0,33749,7,461
WO,4,532,0,164904,7,446
WO,5,494,0,72244,9,372
WO,6,498,0,155727,10,555
WO,7,443,0,157240,10,448
WO,8,483,0,183631,10,431
WO,9,257,0,40854,10,465
WO,10,74,0,0,10,240
WO,11,109,0,0,0,277
WO,12,0,0,0,0,0
