year,audience_by_year,article_counts_by_year,web_search_count_by_year,youtube_views_by_years,youtube_likes_by_years,youtube_comments_by_years
2010,5928626,107644,579,0,0,0
2011,6810028,172803,1091,0,0,0
2012,7156157,278297,1031,0,0,0
2013,6441945,299639,846,0,0,0
2014,6509915,290800,689,0,0,0
2015,7360530,283386,920,102705,337,39
2016,8339577,129755,704,1549632,7500,640
2017,8400688,131209,860,48283,326,22
2018,8073742,113978,763,4486869,24065,1468
2019,7286008,107400,601,477399,4220,313
2020,328317,121161,526,265685,4204,783
2021,1228489,101763,559,4117281,35720,5291
2022,6076074,107506,543,36525688,450616,13088
2023,8100326,113231,599,36600848,562298,21027
2024,10887705,106542,652,115721472,2109570,274132
